Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,220nF,C1606
C10,0402,1,1nF,C14442
C11,0402,1,10nF,C15195
"C12, C9",0402,2,22pF,C1555
C13,0402,1,2.2nF,C1531
C14,0402,1,4.7pF,C161327
C15,0402,1,1pF,C76898
C16,0402,1,1.5pF,C1552
"C2, C3, C5, C6, C7",0603,5,100nF,C1590
C4,0603,1,10uF,C1691
C8,0402,1,33nF,C106862
J1,PinSocket_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,C35165
J2,SMA_BAT_Wireless_BWSMA-KWE-Z001,1,Conn_Coaxial,C496551
L1,0402,1,2.7nH,C77108
L2,0402,1,3.9nH,C77109
L3,0402,1,8.2nH,C84404
"R1, R2, R3, R4, R5, R6, R7",0603,7,10K,C25804
R8,0402,1,22K,C25547
R9,0402,1,1M,
U1,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DSL,C126672
U2,LGA-12_2x2mm_P0.5mm,1,LIS2MDL,C919695
U3,ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,1,LPS22HH,C2827824
U4,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,nRF24L01P,C8791
X1,Crystal_HC49-4H_Vertical,1,16MHz,C2203
